GAS_LINES_TIMESERIES_1,GAS_LINES_TIMESERIES_2,GAS_LINES_TIMESERIES_3,DispatchGl
RI,CT,20230213,0.0
RI,CT,20230216,0.0
RI,CT,20230306,0.0
RI,CT,20230315,0.0
RI,CT,20230403,0.0
RI,CT,20230410,0.0
RI,CT,20230530,0.0
RI,CT,20230517,0.0
RI,CT,20230630,0.0
RI,CT,20230615,0.0
RI,CT,20230727,0.0
RI,CT,20230710,0.0
RI,CT,20230803,0.0
RI,CT,20230831,0.0
RI,CT,20230906,0.0
RI,CT,20230912,0.0
RI,CT,20231005,0.0
RI,CT,20231020,0.0
RI,CT,20231129,0.0
RI,CT,20231121,0.0
RI,CT,20231228,0.0
RI,CT,20231218,0.0
CA,AZ,20230103,0.0
CA,AZ,20230130,0.0
CA,AZ,20230213,0.0
CA,AZ,20230216,0.0
CA,AZ,20230306,0.0
CA,AZ,20230315,0.0
CA,AZ,20230403,0.0
CA,AZ,20230410,0.0
CA,AZ,20230530,0.0
CA,AZ,20230517,0.0
CA,AZ,20230630,0.0
CA,AZ,20230615,0.0
CA,AZ,20230727,0.0
CA,AZ,20230710,0.0
CA,AZ,20230803,0.0
CA,AZ,20230831,0.0
CA,AZ,20230906,0.0
CA,AZ,20230912,0.0
CA,AZ,20231005,0.0
CA,AZ,20231020,0.0
CA,AZ,20231129,0.0
CA,AZ,20231121,0.0
CA,AZ,20231228,0.0
CA,AZ,20231218,0.0
GA,AL,20230103,0.0
GA,AL,20230130,0.0
GA,AL,20230213,0.0
GA,AL,20230216,0.0
GA,AL,20230306,0.0
GA,AL,20230315,0.0
GA,AL,20230403,0.0
GA,AL,20230410,0.0
GA,AL,20230530,0.0
GA,AL,20230517,0.0
GA,AL,20230630,0.0
GA,AL,20230615,0.0
GA,AL,20230727,0.0
GA,AL,20230710,0.0
GA,AL,20230803,0.0
GA,AL,20230831,0.0
GA,AL,20230906,0.0
GA,AL,20230912,0.0
GA,AL,20231005,0.0
GA,AL,20231020,0.0
GA,AL,20231129,0.0
GA,AL,20231121,0.0
GA,AL,20231228,0.0
GA,AL,20231218,0.0
TX,AR,20230103,234951.0630158689
TX,AR,20230130,0.0
TX,AR,20230213,0.0
TX,AR,20230216,0.0
TX,AR,20230306,389639.1339136407
TX,AR,20230315,737814.039160601
