GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
MISW_wi_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,MISW,Naturalgas,3314.3,0,.,0,3.58952e+07
MISW_ia_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISW,Naturalgas,820.8,0,.,0,8.97216e+06
MISW_ia_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,MISW,Naturalgas,44.3,0,.,0,594152
MISW_ia_natural_gas_fired_combustion_turbine_3,2023,Natural Gas Fired Combustion Turbine,MISW,Naturalgas,118.5,0,.,0,1.58932e+06
MISW_il_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISW,Naturalgas,0,0,.,0,0
MISW_mn_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISW,Naturalgas,2137.7,0,.,0,2.0286e+07
MISW_mn_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,MISW,Naturalgas,445.9,0,.,0,5.41474e+06
MISW_mn_natural_gas_fired_combustion_turbine_3,2023,Natural Gas Fired Combustion Turbine,MISW,Naturalgas,387.6,0,.,0,3.62397e+06
MISW_mt_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISW,Naturalgas,43.2,0,.,0,579398
MISW_mt_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,MISW,Naturalgas,40.9,0,.,0,548551
MISW_mt_natural_gas_fired_combustion_turbine_3,2023,Natural Gas Fired Combustion Turbine,MISW,Naturalgas,0,0,.,0,0
MISW_nd_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISW,Naturalgas,101,0,.,0,1.10403e+06
MISW_nd_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,MISW,Naturalgas,101,0,.,0,1.10403e+06
MISW_sd_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISW,Naturalgas,386,0,.,0,3.53885e+06
MISW_wi_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISW,Naturalgas,3208.9,0,.,0,3.10088e+07
MISW_wi_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,MISW,Naturalgas,281.7,0,.,0,3.77816e+06
MISW_ia_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,MISW,Naturalgas,125.6,0,.,0,3.0144e+06
MISW_il_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,MISW,Naturalgas,15.8,0,.,0,379200
MISW_mi_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,MISW,Naturalgas,238.2,0,.,0,5.7168e+06
MISW_mn_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,MISW,Naturalgas,223.2,0,.,0,5.3568e+06
MISW_mt_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,MISW,Naturalgas,18.2,0,.,0,436800
MISW_wi_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,MISW,Naturalgas,153.5,0,.,0,3.684e+06
MISW_ia_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,MISW,Naturalgas,137.5,0,.,0,7.05416e+06
MISW_mn_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,MISW,Naturalgas,25.2,0,.,0,1.29284e+06
MISW_wi_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,MISW,Naturalgas,7,0,.,0,359121
NWPP_id_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,NWPP,Naturalgas,282,0,.,0,4.65074e+06
NWPP_or_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,NWPP,Naturalgas,3697.8,0,.,0,4.94314e+07
NWPP_wa_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,NWPP,Naturalgas,2935.4,0,.,0,4.05255e+07
NWPP_id_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,NWPP,Naturalgas,87.5,0,.,0,956462
NWPP_id_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,NWPP,Naturalgas,87.5,0,.,0,956462
NWPP_mt_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,NWPP,Naturalgas,144.3,0,.,0,1.57734e+06
NWPP_or_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,NWPP,Naturalgas,115.2,0,.,0,1.25925e+06
NWPP_or_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,NWPP,Naturalgas,24,0,.,0,321888
NWPP_wa_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,NWPP,Naturalgas,398.4,0,.,0,4.5385e+06
NWPP_wa_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,NWPP,Naturalgas,486,0,.,0,4.69894e+06
NWPP_mt_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,NWPP,Naturalgas,54,0,.,0,1.296e+06
NWPP_or_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,NWPP,Naturalgas,229.2,0,.,0,5.5008e+06
NWPP_wa_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,NWPP,Naturalgas,26.6,0,.,0,638400
NWPP_wa_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,NWPP,Naturalgas,3,0,.,0,153909
NYCW_nj_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,NYCW,Naturalgas,991.4,0,.,0,9.70283e+06
NYCW_ny_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,NYCW,Naturalgas,3341.6,0,.,0,4.27926e+07
