generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
FRCC_fl_natural_gas_internal_combustion_engine_1,FRCC_fl_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,FRCC,Naturalgas,2023,154.23309516999998,853063.2493852699,68300.3926160448,130.9,0.0,3141600.0,25.90016912376842,0.1345034256583463,,
FRCC_fl_natural_gas_steam_turbine_1,FRCC_fl_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,FRCC,Naturalgas,2023,0.0,0.0,0.0,3824.0,0.0,113569534.304,0.0,0.0,,
FRCC_nuclear_1,FRCC_nuclear_1,Nuclear,FRCC,Uranium,2023,32736.155875200002,80858305.011744,0.0,3737.0,0.0,722268675.0,24.5333319853896,1.0000000000000002,,
FRCC_petroleum_liquids_1,FRCC_petroleum_liquids_1,Petroleum Liquids,FRCC,Distillate,2023,0.0,0.0,0.0,455.59999999999997,0.0,10934400.0,0.0,0.0,,
FRCC_solar_photovoltaic_1,FRCC_solar_photovoltaic_1,Solar Photovoltaic,FRCC,Solar,2023,14228.313732632538,0.0,0.0,6776.1,0.0,152651980.8,10.728747177530515,0.23970055747199182,,
ISNE_batteries_1,ISNE_batteries_1,Batteries,ISNE,Electricity,2023,-4.492806540714479,3713.585406309318,0.0,344.0,0.0,2571744.0,104.02847801873563,0.008215597095304462,29.2500425827766,24.757236042062125
ISNE_biomass_1,ISNE_biomass_1,Biomass,ISNE,Waste_biomass,2023,654.1099168319997,5369588.307273887,0.0,393.0,0.0,61787460.0,102.66936271587265,0.18999999999999997,,
ISNE_biomass_2,ISNE_biomass_2,Biomass,ISNE,Waste_biomass,2023,1336.8475450367996,6344678.44874465,0.0,803.2000000000003,0.0,126279104.0,99.20636271587267,0.18999999999999986,,
ISNE_conventional_hydroelectric_1,ISNE_conventional_hydroelectric_1,Conventional Hydroelectric,ISNE,Water,2023,3587.469296854979,0.0,0.0,928.2000000000002,0.0,43669953.599999994,12.172913546126809,0.4412066470020146,,
ISNE_conventional_steam_coal_2,ISNE_conventional_steam_coal_2,Conventional Steam Coal,ISNE,Coal,2023,0.0,0.0,0.0,438.0,0.0,34036368.114,0.0,0.0,,
ISNE_ct_natural_gas_fired_combined_cycle_1,ISNE_ct_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,2023,20.544019200000005,93495.8313792,10463.540258360448,144.0,0.0,2374848.0,120.14902280558611,0.01628614653572983,,
ISNE_ct_natural_gas_fired_combined_cycle_2,ISNE_ct_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,2023,35333.77607357662,127590265.40168516,13466761.36824673,4046.8999999999996,0.0,39607010.3,4.731939075900778,0.9966966471002123,,
ISNE_ct_natural_gas_fired_combustion_turbine_1,ISNE_ct_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,2023,0.17999999999999997,1223.9999999999998,108.9077724,179.99999999999997,0.0,2414160.0000000005,13418.800000000005,0.00011415512604004454,,
ISNE_ct_natural_gas_fired_combustion_turbine_2,ISNE_ct_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,2023,17.31440669,117737.96549199999,9322.073445302798,450.7,0.0,4327415.4300999995,256.7314881288606,0.004385463230542579,,
ISNE_ct_natural_gas_internal_combustion_engine_1,ISNE_ct_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,ISNE,Naturalgas,2023,23.7829095,129164.98149450001,10341.444054283653,15.700000000000001,0.0,376800.0,21.27430966738952,0.17292618035487084,,
ISNE_ct_natural_gas_steam_turbine_1,ISNE_ct_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,ISNE,Naturalgas,2023,0.0,0.0,0.0,453.90000000000003,0.0,23286431.700000003,0.0,0.0,,
ISNE_distributed_generation_1,ISNE_distributed_generation_1,distributed_generation,ISNE,Solar,2023,5555.0211321528,0.0,0.0,3528.0,0.0,0.0,0.0,0.17974323625170457,,
ISNE_hydroelectric_pumped_storage_1,ISNE_hydroelectric_pumped_storage_1,Hydroelectric Pumped Storage,ISNE,Electricity,2023,-8.321779430493576,0.0,0.0,1830.0,0.0,86097840.0,3449.5044478486566,0.0015569686751039239,33.28126022017524,24.959480789681663
