timestamp,time_row,timeseries,time_column
2023_p281_17,2023,2023_p281,2012p281
2023_p281_18,2023,2023_p281,2012p281
2023_p281_19,2023,2023_p281,2012p281
2023_p281_20,2023,2023_p281,2012p281
2023_p281_21,2023,2023_p281,2012p281
2023_p281_22,2023,2023_p281,2012p281
2023_p281_23,2023,2023_p281,2012p281
2023_p282_0,2023,2023_p282,2012p282
2023_p282_1,2023,2023_p282,2012p282
2023_p282_2,2023,2023_p282,2012p282
2023_p282_3,2023,2023_p282,2012p282
2023_p282_4,2023,2023_p282,2012p282
2023_p282_5,2023,2023_p282,2012p282
2023_p282_6,2023,2023_p282,2012p282
2023_p282_7,2023,2023_p282,2012p282
2023_p282_8,2023,2023_p282,2012p282
2023_p282_9,2023,2023_p282,2012p282
2023_p282_10,2023,2023_p282,2012p282
2023_p282_11,2023,2023_p282,2012p282
2023_p282_12,2023,2023_p282,2012p282
2023_p282_13,2023,2023_p282,2012p282
2023_p282_14,2023,2023_p282,2012p282
2023_p282_15,2023,2023_p282,2012p282
2023_p282_16,2023,2023_p282,2012p282
2023_p282_17,2023,2023_p282,2012p282
2023_p282_18,2023,2023_p282,2012p282
2023_p282_19,2023,2023_p282,2012p282
2023_p282_20,2023,2023_p282,2012p282
2023_p282_21,2023,2023_p282,2012p282
2023_p282_22,2023,2023_p282,2012p282
2023_p282_23,2023,2023_p282,2012p282
2023_p283_0,2023,2023_p283,2012p283
2023_p283_1,2023,2023_p283,2012p283
2023_p283_2,2023,2023_p283,2012p283
2023_p283_3,2023,2023_p283,2012p283
2023_p283_4,2023,2023_p283,2012p283
2023_p283_5,2023,2023_p283,2012p283
2023_p283_6,2023,2023_p283,2012p283
2023_p283_7,2023,2023_p283,2012p283
2023_p283_8,2023,2023_p283,2012p283
2023_p283_9,2023,2023_p283,2012p283
2023_p283_10,2023,2023_p283,2012p283
2023_p283_11,2023,2023_p283,2012p283
2023_p283_12,2023,2023_p283,2012p283
2023_p283_13,2023,2023_p283,2012p283
2023_p283_14,2023,2023_p283,2012p283
2023_p283_15,2023,2023_p283,2012p283
2023_p283_16,2023,2023_p283,2012p283
2023_p283_17,2023,2023_p283,2012p283
2023_p283_18,2023,2023_p283,2012p283
2023_p283_19,2023,2023_p283,2012p283
2023_p283_20,2023,2023_p283,2012p283
2023_p283_21,2023,2023_p283,2012p283
2023_p283_22,2023,2023_p283,2012p283
2023_p283_23,2023,2023_p283,2012p283
2023_p284_0,2023,2023_p284,2012p284
2023_p284_1,2023,2023_p284,2012p284
2023_p284_2,2023,2023_p284,2012p284
2023_p284_3,2023,2023_p284,2012p284
2023_p284_4,2023,2023_p284,2012p284
2023_p284_5,2023,2023_p284,2012p284
2023_p284_6,2023,2023_p284,2012p284
2023_p284_7,2023,2023_p284,2012p284
2023_p284_8,2023,2023_p284,2012p284
2023_p284_9,2023,2023_p284,2012p284
2023_p284_10,2023,2023_p284,2012p284
2023_p284_11,2023,2023_p284,2012p284
2023_p284_12,2023,2023_p284,2012p284
2023_p284_13,2023,2023_p284,2012p284
2023_p284_14,2023,2023_p284,2012p284
2023_p284_15,2023,2023_p284,2012p284
2023_p284_16,2023,2023_p284,2012p284
2023_p284_17,2023,2023_p284,2012p284
2023_p284_18,2023,2023_p284,2012p284
2023_p284_19,2023,2023_p284,2012p284
2023_p284_20,2023,2023_p284,2012p284
2023_p284_21,2023,2023_p284,2012p284
2023_p284_22,2023,2023_p284,2012p284
2023_p284_23,2023,2023_p284,2012p284
2023_p285_0,2023,2023_p285,2012p285
2023_p285_1,2023,2023_p285,2012p285
2023_p285_2,2023,2023_p285,2012p285
2023_p285_3,2023,2023_p285,2012p285
2023_p285_4,2023,2023_p285,2012p285
2023_p285_5,2023,2023_p285,2012p285
2023_p285_6,2023,2023_p285,2012p285
2023_p285_7,2023,2023_p285,2012p285
2023_p285_8,2023,2023_p285,2012p285
2023_p285_9,2023,2023_p285,2012p285
2023_p285_10,2023,2023_p285,2012p285
2023_p285_11,2023,2023_p285,2012p285
2023_p285_12,2023,2023_p285,2012p285
2023_p285_13,2023,2023_p285,2012p285
2023_p285_14,2023,2023_p285,2012p285
2023_p285_15,2023,2023_p285,2012p285
2023_p285_16,2023,2023_p285,2012p285
2023_p285_17,2023,2023_p285,2012p285
2023_p285_18,2023,2023_p285,2012p285
2023_p285_19,2023,2023_p285,2012p285
2023_p285_20,2023,2023_p285,2012p285
2023_p285_21,2023,2023_p285,2012p285
2023_p285_22,2023,2023_p285,2012p285
2023_p285_23,2023,2023_p285,2012p285
2023_p286_0,2023,2023_p286,2012p286
2023_p286_1,2023,2023_p286,2012p286
